Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
199,3,2,0,0,0,1,0,0,0,58,138,FALSE,2.4,0.3,0,1.93,88,72,426,1921,1,0,-1,-1,-1
200,1,0,3,1,0,0,0,0,1,275,2070,FALSE,6.6,0.9,4.6,2.13,105,72,549,1998,4,0,2018,1,6
201,3,0,0,0,0,0,0,0,0,72,1437,FALSE,20,3.7,6.9,2.08,113,72,163,2002,0,4,2022,1,1
202,6,36,10,6,3,13,7,8,3,202,3256,FALSE,21.5,4.4,5,1.96,98,72,540,1998,2,1,2020,1,30
203,3,24,11,7,4,11,6,0,1,468,5305,FALSE,11.3,2.9,5.8,2.01,98,72,163,1959,6,0,1981,2,28
204,6,11,3,4,2,4,2,2,1,348,2061,FALSE,5.9,2.1,1.5,1.88,93,72,578,1981,9,0,2003,1,13
205,3,0,0,0,0,0,0,0,0,253,1501,FALSE,5.9,0.4,3.5,2.06,107,72,510,1960,5,0,1984,7,156
206,3,19,7,4,2,9,6,0,2,706,8568,FALSE,12.1,2.3,6.4,2.06,91,72,517,1951,9,0,1973,1,8
207,3,3,2,1,1,1,1,0,0,95,347,FALSE,4.6,1.2,1.5,2.01,93,13,365,1999,1,0,2021,2,46
210,6,26,8,5,3,11,8,5,1,850,9035,FALSE,10.6,2.1,2,1.91,88,9,42,1982,15,2,2003,1,28
211,6,0,0,0,0,0,0,0,0,33,73,FALSE,2.2,1.3,1.8,1.96,86,72,251,1968,3,0,1990,2,41
212,6,22,6,13,2,9,4,4,1,831,7415,FALSE,8.9,3.9,2.1,1.78,82,52,390,1984,15,1,-1,-1,-1
213,0,18,7,4,2,6,4,2,2,550,7873,FALSE,14.3,1.2,4.6,2.13,111,36,52,1985,10,3,2006,1,1
214,6,12,0,0,0,4,4,0,0,149,557,FALSE,3.7,2,1.8,1.88,84,72,274,1921,3,0,1949,-1,-1
215,1,0,0,0,0,0,0,0,0,98,639,FALSE,6.5,0.8,5.3,2.11,102,72,235,1955,2,0,1976,4,53
216,3,56,24,12,7,23,19,4,6,1073,23757,TRUE,22.1,3.9,11.7,1.98,114,72,28,1963,16,37,1984,1,5
217,6,0,0,0,0,0,0,0,0,27,77,FALSE,2.9,1.5,0.8,1.85,84,72,515,1978,3,0,2000,1,28
218,3,17,0,3,0,5,7,0,0,262,2895,FALSE,11,2.1,8,1.98,91,72,577,1923,4,0,-1,-1,-1
219,3,0,0,0,0,0,0,0,0,28,110,FALSE,3.9,0.9,3.6,2.06,98,72,418,2003,0,0,-1,-1,-1
220,3,26,12,4,3,10,7,5,2,829,11796,FALSE,15,1.6,4.5,2.03,102,72,380,1992,10,2,2012,1,7
221,3,0,0,0,0,0,0,0,0,22,43,FALSE,2,0.2,1.2,1.91,93,72,390,1945,1,0,1968,4,37
222,1,27,0,2,0,12,4,0,0,454,3997,FALSE,8.8,0.8,6.5,2.03,95,72,558,1941,7,2,1964,1,1
223,3,0,0,0,0,0,0,0,0,171,1569,FALSE,9.2,1.5,5.5,2.06,95,72,446,1952,4,0,1974,1,2
224,3,30,11,7,4,11,7,6,2,929,7589,FALSE,8.2,1.8,4.6,2.01,103,72,577,1980,15,0,2002,2,45
225,3,18,11,8,3,8,7,2,1,151,2313,FALSE,15.3,4.8,6.6,2.03,102,72,200,2001,1,4,2021,1,4
226,6,31,0,9,0,14,11,0,0,971,15358,FALSE,15.8,2.8,2.9,1.93,86,72,545,1936,14,0,1959,1,4
227,6,30,0,7,0,12,9,0,0,732,8536,FALSE,11.7,3,3.1,1.93,77,72,415,1944,11,0,1966,1,8
228,6,16,0,6,0,6,4,0,0,426,3648,FALSE,8.6,2.8,2.8,1.85,82,72,545,1938,7,0,1959,11,77
230,3,17,0,0,0,8,5,0,0,344,3232,FALSE,9.4,3.2,5.4,1.93,86,72,401,1924,5,0,1949,-1,-1
231,3,0,0,0,0,0,0,0,0,58,295,FALSE,5.1,0.9,0,1.91,93,72,426,1918,1,0,-1,-1,-1
232,6,0,0,0,0,0,0,0,0,73,285,FALSE,3.9,2.4,1.8,1.91,82,72,164,1950,1,0,1972,13,180
